"Devboard Pin","Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","Schematic Net"
"B53","AG10","PC10","I/O","ADC1_INP5","","","","I2S3_SDO/SPI3_MOSI","","","","","LPTIM4_ETR","TIM8_CH4","USBH_HS_VBUSEN","ETH2_MII_TXD3/ETH2_RGMII_TXD3","USB3DR_VBUSEN","FMC_A23","LTDC_G3","DCMIPP_D6/DCMI_D6/PSSI_D6","/ADC1_CH5"
"B55","AA15","PF0","I/O","ADC1_INP11","","","","I2S3_CK/SPI3_SCK","","","","","FDCAN2_RX","TIM12_CH2","I2C2_SDA","ETH1_MDC","ETH2_MII_CRS","","I3C2_SDA","","/ADC1_CH11"
"B57","AE9","PC9","I/O","ADC1_INP8","","","RCC_MCO_1","I2S3_SDI/SPI3_MISO","","SAI2_SCK_A","","","TIM13_CH1","TIM8_CH4N","USBH_HS_OVRCUR","ETH2_MII_TXD2/ETH2_RGMII_TXD2","USB3DR_OVRCUR","FMC_A22","LTDC_G2","DCMIPP_D7/DCMI_D7/PSSI_D7","/ADC1_CH8"
"B59","AA9","PC3","I/O","ADC1_INP12","","","LPTIM1_IN2","I2S3_WS/SPI3_NSS","SPI6_RDY","","","USART6_DE/USART6_RTS","FDCAN2_TX","","","ETH2_MII_RX_DV/ETH2_RGMII_RX_CTL/ETH2_RMII_CRS_DV","ETH1_MII_RX_ER","","LTDC_G6","DCMIPP_D3/DCMI_D3/PSSI_D3","/ADC1_CH12"
"B61","AF14","PH10","I/O","ADC3_INP8","","","","I2S1_CK/SPI1_SCK","SPI6_MOSI","SAI3_SCK_A","","","TIM15_CH1","","ETH2_MDC","ETH1_MII_TXD2/ETH1_RGMII_TXD2","","","","","/ADC3_CH8"
"B63","AG6","VREF+","Power","","","","","","","","","","","","","","","","","","VREF+"
"B65","AF6","VREF-","Power","","","","","","","","","","","","","","","","","","GNDADC"
"B67","J7","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"B69","AF15","PA9","I/O","SAI2_SCK_B","","","","","SPI4_NSS","SAI2_SCK_B","","USART2_CTS/USART2_NSS","LPTIM5_ETR","TIM2_CH3","","ETH1_MDC","","LTDC_G7","DCMIPP_D14/PSSI_D14","ETH3_RGMII_RXD0/ETH3_RMII_RXD0","/PA9"
"B71","AE15","PA10","I/O","TIM2_CH2","","","","","SPI4_MISO","SAI2_SD_B","","USART2_RX","LPTIM5_IN1","TIM2_CH2","","ETH1_MDIO","","LTDC_R6","DCMIPP_D15/PSSI_D15","ETH3_RGMII_RXD1/ETH3_RMII_RXD1","/PA10"
"B73","AB10","PC6","I/O","ADC1_INP9","","","RTC_REFIN","SPDIFRX_IN0","","","MDF1_CKI1","","","TIM8_CH1","I2C4_SCL","ETH2_MDC","ETH1_MII_CRS","FMC_A24","ETH1_PHY_INTN","LTDC_CLK","/ADC1_CH9"
"B75","AE17","PA5","I/O","SAI2_SD_B","","","","","SPI4_MOSI","SAI2_MCLK_B","SAI2_SD_B","USART2_DE/USART2_RTS","FDCAN2_RX","TIM2_CH4","","LTDC_G0","","FMC_A0","DCMIPP_D13/DCMI_D13/PSSI_D13","ETH3_RGMII_RX_CLK/ETH3_RMII_REF_CLK","/PA5"
"B77","K3","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"B79","V6","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"C1","B10","DSIHOST_D1P","MonoIO","DSIHOST_D1P","","","","","","","","","","","","","","","","","/DSI_D1P"
"C2","B7","DSIHOST_D2P","MonoIO","DSIHOST_D2P","","","","","","","","","","","","","","","","","/DSI_D2P"
"C3","A10","DSIHOST_D1N","MonoIO","DSIHOST_D1N","","","","","","","","","","","","","","","","","/DSI_D1N"
"C4","A7","DSIHOST_D2N","MonoIO","DSIHOST_D2N","","","","","","","","","","","","","","","","","/DSI_D2N"
"C5","C9","DSIHOST_D0N","MonoIO","DSIHOST_D0N","","","","","","","","","","","","","","","","","/DSI_D0N"
"C6","A6","DSIHOST_D3P","MonoIO","DSIHOST_D3P","","","","","","","","","","","","","","","","","/DSI_D3P"
"C7","B9","DSIHOST_D0P","MonoIO","DSIHOST_D0P","","","","","","","","","","","","","","","","","/DSI_D0P"
"C8","B6","DSIHOST_D3N","MonoIO","DSIHOST_D3N","","","","","","","","","","","","","","","","","/DSI_D3N"
"C9","C8","DSIHOST_CKN","MonoIO","DSIHOST_CKN","","","","","","","","","","","","","","","","","/DSI_CKN"
"C10","J3","PI6","I/O","LTDC_VSYNC","","","RCC_MCO_1","","","","","USART3_TX","TIM2_ETR","TIM3_CH1","","","","","LTDC_VSYNC","","/LTDC_VSYNC"
"C11","C7","DSIHOST_CKP","MonoIO","DSIHOST_CKP","","","","","","","","","","","","","","","","","/DSI_CKP"
"C12","J5","PI7","I/O","LTDC_HSYNC","","","","","","","","USART3_RX","TIM2_CH1","TIM3_CH2","","","","","LTDC_HSYNC","","/LTDC_HSYNC"
"C13","K6","PG15","I/O","LTDC_B2","","DEBUG_TRACED13","HDP_HDP5","","LPTIM1_CH2","","MDF1_SDI5","USART1_RX","","TIM8_ETR","","","","","LTDC_B2","DCMIPP_D10/DCMI_D10/PSSI_D10","/LTDC_B2"
"C14","L5","PG8","I/O","LTDC_G2","","DEBUG_TRACED6","HDP_HDP6","SPI5_RDY","SPI1_RDY","USART6_CK","UART5_DE/UART5_RTS","UART9_TX","","TIM5_CH3","","","","","LTDC_G2","DCMIPP_D2/DCMI_D2/PSSI_D2","/LTDC_G2"
"C15","K4","PI5","I/O","LTDC_DE","","","","SPI5_MOSI","I2S1_SDO/SPI1_MOSI","","UART5_CTS","UART9_RX","","TIM5_CH2","","","","","LTDC_DE","DCMIPP_D1/DCMI_D1/PSSI_D1","/LTDC_DE"
"C16","M3","PG9","I/O","LTDC_G3","","DEBUG_TRACED7","","","","","UART5_TX","","","TIM5_CH4","","","","","LTDC_G3","DCMIPP_D3/DCMI_D3/PSSI_D3","/LTDC_G3"
"C17","M6","PI1","I/O","LTDC_B4","","DEBUG_TRACED15","HDP_HDP7","SPI7_NSS","","","MDF1_SDI6","","","TIM8_CH3N","I2C1_SDA","I3C1_SDA","","","LTDC_B4","DCMIPP_D8/DCMI_D8/PSSI_D8","/LTDC_B4"
"C18","M4","PG10","I/O","LTDC_G4","","DEBUG_TRACED8","HDP_HDP0","","","","UART5_RX","","","TIM8_CH4N","","","","","LTDC_G4","DCMIPP_D4/DCMI_D4/PSSI_D4","/LTDC_G4"
"C19","L7","PI0","I/O","LTDC_B3","","DEBUG_TRACED14","HDP_HDP6","","LPTIM1_IN1","SAI4_MCLK_B","","USART1_CK","","TIM8_BKIN","","","","","LTDC_B3","DCMIPP_D11/DCMI_D11/PSSI_D11","/LTDC_B3"
"C20","N1","PG14","I/O","LTDC_B1","","DEBUG_TRACED12","HDP_HDP4","SPI7_RDY","","","MDF1_CKI5","USART1_TX","","TIM8_BKIN2","","","","","LTDC_B1","DCMIPP_D9/DCMI_D9/PSSI_D9","/LTDC_B1"
"C21","N5","PI2","I/O","LTDC_B5","","","","","LPTIM1_ETR","SAI4_SCK_B","","USART1_DE/USART1_RTS","","TIM8_CH1","","","","","LTDC_B5","DCMIPP_D13/DCMI_D13/PSSI_D13","/LTDC_B5"
"C22","N2","PG11","I/O","LTDC_G5","","DEBUG_TRACED9","HDP_HDP1","SPI7_MOSI","","","","","FDCAN1_TX","TIM8_CH4","","","","","LTDC_G5","DCMIPP_D5/DCMI_D5/PSSI_D5","/LTDC_G5"
"C23","Y4","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"C24","P1","PG13","I/O","LTDC_G7","","DEBUG_TRACED11","HDP_HDP3","SPI7_SCK","","","MDF1_CKI6","","","TIM8_CH2N","I2C1_SCL","I3C1_SCL","","","LTDC_G7","DCMIPP_D7/DCMI_D7/PSSI_D7","/LTDC_G7"
"C25","AC3","VSSAON","Power","","","","","","","","","","","","","","","","","","GND"
"C26","P2","PF13","I/O","LTDC_R2","","DEBUG_TRACED0","HDP_HDP0","AUDIOCLK","USART6_TX","I2S2_WS/SPI2_NSS","MDF1_CKI7","USART3_CTS/USART3_NSS","FDCAN3_TX","TIM3_CH3","","","","","LTDC_R2","","/LTDC_R2"
"C27","N3","PG12","I/O","LTDC_G6","","DEBUG_TRACED10","HDP_HDP2","SPI7_MISO","","","","","FDCAN1_RX","TIM8_CH1N","","","","","LTDC_G6","DCMIPP_D6/DCMI_D6/PSSI_D6","/LTDC_G6"
"C28","P4","PF12","I/O","LTDC_CLK","","DEBUG_TRACECLK","","SPI5_MISO","I2S1_SDI/SPI1_MISO","","","UART9_DE/UART9_RTS","","TIM5_CH1","","","","","LTDC_CLK","DCMIPP_D0/DCMI_D0/PSSI_D0","/LTDC_CLK"
"C29","N7","PI3","I/O","LTDC_B6","","","","","LPTIM1_IN2","SAI4_SD_B","","USART1_CTS/USART1_NSS","","TIM8_CH2","","","","","LTDC_B6","DCMIPP_D14/PSSI_D14","/LTDC_B6"
"C30","R2","PF15","I/O","LTDC_R4","","DEBUG_TRACED2","HDP_HDP2","SPI2_RDY","USART6_CTS/USART6_NSS","I2S2_CK/SPI2_SCK","","USART3_CK","TIM2_CH2","TIM3_ETR","I2C6_SMBA","","","","LTDC_R4","","/LTDC_R4"
"C31","P6","PI4","I/O","LTDC_B7","","","","","LPTIM1_CH1","SAI4_FS_B","","","","TIM8_CH3","","","","","LTDC_B7","DCMIPP_D15/PSSI_D15","/LTDC_B7"
"C32","P3","PF14","I/O","LTDC_R3","","DEBUG_TRACED1","HDP_HDP1","","USART6_RX","","MDF1_SDI7","USART3_DE/USART3_RTS","FDCAN3_RX","TIM3_CH4","","","","","LTDC_R3","","/LTDC_R3"
"C33","AG18","PH5","I/O","LTDC_G1","","","","","","SAI2_FS_A","","UART8_CTS","TIM2_CH1","UART7_RX","","LTDC_G1","USB3DR_VBUSEN","USBH_HS_VBUSEN","ETH2_PTP_AUX_TS","","/LTDC_G1"
"C34","R3","PG5","I/O","LTDC_R5","","DEBUG_TRACED3","HDP_HDP3","","USART6_DE/USART6_RTS","","","","TIM2_CH3","","I2C6_SDA","","","","LTDC_R5","DCMIPP_PIXCLK/DCMI_PIXCLK/PSSI_PDCK","/LTDC_R5"
"C35","AB16","PH4","I/O","LTDC_R0","","","","","","","","UART7_TX","TIM17_BKIN","","TIM5_CH2","LTDC_R0","USB3DR_OVRCUR","USBH_HS_OVRCUR","ETH1_PTP_AUX_TS","ETH3_PPS_OUT","/LTDC_R0"
"C36","T3","PG6","I/O","LTDC_R6","","DEBUG_TRACED4","HDP_HDP4","SPI5_SCK","I2S1_CK/SPI1_SCK","","","","TIM2_CH4","","I2C6_SCL","","","","LTDC_R6","DCMIPP_HSYNC/DCMI_HSYNC/PSSI_DE","/LTDC_R6"
"C37","AB8","PF7","I/O","LTDC_R1","","","","SPDIFRX_IN1","SPI6_SCK","SAI3_SD_A","","","TIM2_ETR","","","ETH2_RGMII_GTX_CLK","ETH2_MII_TX_CLK","","LTDC_R1","","/LTDC_R1"
"C38","U1","PI9","I/O","LTDC_B0","","","SPI7_MOSI","I2S2_SDO/SPI2_MOSI","","FDCAN2_TX","","UART9_CTS","","TIM16_BKIN","","FMC_NWAIT","","DSIHOST_TE","LTDC_B0","","/LTDC_B0"
"C39","AE10","PF8","I/O","LTDC_G0","","","RTC_REFIN","","SAI3_SCK_B","","","USART3_RX","TIM12_CH2","","ETH1_CLK","ETH2_RGMII_CLK125","ETH2_MII_RX_ER","ETH2_MII_RX_DV/ETH2_RMII_CRS_DV","LTDC_G0","","/LTDC_G0"
"C40","U2","PG7","I/O","LTDC_R7","","DEBUG_TRACED5","HDP_HDP5","SPI5_NSS","I2S1_WS/SPI1_NSS","","","UART9_CTS","","TIM5_ETR","","","","","LTDC_R7","DCMIPP_VSYNC/DCMI_VSYNC/PSSI_RDY","/LTDC_R7"
"","A3","CSI_D0N","MonoIO","","","","","","","","","","","","","","","","","",""
"","A18","PD6","I/O","OCTOSPIM_P1_IO2","","DEBUG_TRACED2","SPI4_MOSI","HDP_HDP5","","SAI1_SCK_B","MDF1_SDI2","","","TIM1_CH2N","TIM4_CH3","OCTOSPIM_P1_IO2","","","DCMIPP_D12/DCMI_D12/PSSI_D12","","/FLASH_IO2"
"","A19","PD1","I/O","","","","HDP_HDP1","I2S1_SDI/SPI1_MISO","SAI1_CK2","","SAI4_SD_A","UART7_DE/UART7_RTS","TIM15_CH1","TIM1_BKIN","FDCAN3_RX","OCTOSPIM_P1_NCLK","OCTOSPIM_P1_NCS2","OCTOSPIM_P2_NCS2","DCMIPP_HSYNC/DCMI_HSYNC/PSSI_DE","",""
"","A22","PE6","I/O","","","","SPI4_RDY","","","SPDIFRX_IN2","","USART1_TX","","TIM1_ETR","","","FMC_D1/FMC_DA1","SDMMC2_D6","SDMMC2_D0DIR","",""
"","B1","LVDS2_D0P","MonoIO","","","","","","","","","","","","","","","","","",""
"","B2","LVDS2_D0N","MonoIO","","","","","","","","","","","","","","","","","",""
"","B3","CSI_D0P","MonoIO","","","","","","","","","","","","","","","","","",""
"","B5","CSI_D1P","MonoIO","","","","","","","","","","","","","","","","","",""
"","B11","PB10","I/O","USART1_RX","","","I2S3_SDI/SPI3_MISO","","","","","USART1_RX","TIM17_CH1N","","","OCTOSPIM_P2_CLK","","FMC_D15/FMC_DA15","","","/USART1_RX"
"","B14","PB3","Input","GPIO_Input","","","","I2S2_WS/SPI2_NSS","","","MDF1_SDI3","","","TIM20_CH3","","OCTOSPIM_P2_IO3","","FMC_NCE3","","","/SD_DETECT_2"
"","B17","PD0","I/O","OCTOSPIM_P1_CLK","","DEBUG_TRACECLK","HDP_HDP0","SPI7_RDY","SAI1_D2","","SAI4_FS_A","UART7_RX","TIM15_CH2","","","OCTOSPIM_P1_CLK","","","DCMIPP_PIXCLK/DCMI_PIXCLK/PSSI_PDCK","","/FLASH_CLK"
"","B18","PD5","I/O","OCTOSPIM_P1_IO1","","DEBUG_TRACED1","SPI4_NSS","HDP_HDP4","SAI1_D4","SAI1_FS_B","","","","TIM1_CH3N","TIM4_CH2","OCTOSPIM_P1_IO1","","","DCMIPP_D13/DCMI_D13/PSSI_D13","","/FLASH_IO1"
"","B22","PE7","I/O","","","","","","SAI4_D4","SPDIFRX_IN3","","USART1_RX","","TIM1_CH4N","","TIM14_CH1","FMC_D2/FMC_DA2","SDMMC2_D7","SDMMC2_D123DIR","",""
"","B26","PD12","I/O","","","","SPI7_MISO","I2S2_SDI/SPI2_MISO","SPDIFRX_IN2","","UART8_DE/UART8_RTS","","","","TIM4_ETR","SDMMC3_CMD","FMC_D6/FMC_DA6","FMC_D1/FMC_DA1","","",""
"","B27","PI11","I/O","","","","","I2S2_MCK","","","UART8_TX","UART9_DE/UART9_RTS","","","TIM4_CH3","SDMMC3_D3","FMC_D15/FMC_DA15","","","",""
"","C2","LVDS2_D1P","MonoIO","","","","","","","","","","","","","","","","","",""
"","C3","LVDS2_D1N","MonoIO","","","","","","","","","","","","","","","","","",""
"","C4","CSI_CKP","MonoIO","","","","","","","","","","","","","","","","","",""
"","C5","CSI_D1N","MonoIO","","","","","","","","","","","","","","","","","",""
"","C11","PB7","I/O","","","","I2S3_CK/SPI3_SCK","","UART4_TX","SAI4_MCLK_B","","","","TIM20_ETR","TIM12_CH1","OCTOSPIM_P2_IO7","","FMC_D10/FMC_DA10","","SDMMC3_CDIR",""
"","C12","PB1","Input","GPIO_Input","","","I2S3_WS/SPI3_NSS","","","","","","TIM16_CH1N","TIM20_CH3N","","OCTOSPIM_P2_IO1","","FMC_NCE4","","","/DFU_BOOT"
"","C15","PD9","Output","GPIO_Output","DEBUG0","DEBUG_TRACED5","HDP_HDP6","I2S1_SDO/SPI1_MOSI","SAI1_SD_A","UART4_DE/UART4_RTS","MDF1_CKI1","","","TIM1_CH3","","OCTOSPIM_P1_IO5","SDMMC1_D6","SDMMC1_D0DIR","DCMIPP_D9/DCMI_D9/PSSI_D9","","/DEBUG0"
"","C16","PD8","Output","GPIO_Output","DEBUG1","DEBUG_TRACED4","SPI4_RDY","I2S1_MCK","SAI1_FS_A","UART4_CTS","MDF1_SDI1","","","TIM1_CH4","TIM4_ETR","OCTOSPIM_P1_IO4","SDMMC1_D7","SDMMC1_D123DIR","DCMIPP_D10/DCMI_D10/PSSI_D10","","/DEBUG1"
"","C18","PD4","I/O","OCTOSPIM_P1_IO0","","DEBUG_TRACED0","SPI4_MISO","HDP_HDP3","SAI1_D3","SAI1_SD_B","","","","TIM1_CH4N","TIM4_CH1","OCTOSPIM_P1_IO0","","","DCMIPP_D14/PSSI_D14","","/FLASH_IO0"
"","C23","PE8","I/O","","","","SPI4_MOSI","","SAI4_CK1","SAI4_MCLK_A","MDF1_CKI0","","","TIM1_CH1","","","FMC_A17/FMC_ALE","SDMMC2_D2","","",""
"","C25","PE12","Output","GPIO_Output","","","SPI4_NSS","","SAI4_CK2","SAI4_SCK_A","MDF1_SDI0","USART1_DE/USART1_RTS","","TIM1_CH2","","FMC_NE2","FMC_NCE1","SDMMC2_D3","","",""
"","C26","PB12","I/O","","","","","","","","UART8_CTS","","TIM13_CH1","","DSIHOST_TE","SDMMC3_D2","FMC_NWAIT","","","DCMIPP_D12/DCMI_D12/PSSI_D12",""
"","C27","PB14","I/O","","","","","I2S2_CK/SPI2_SCK","","","MDF1_CKI7","UART9_RX","","","TIM4_CH2","SDMMC3_D0","FMC_D7/FMC_DA7","FMC_D2/FMC_DA2","","",""
"","D3","LVDS2_D2N","MonoIO","","","","","","","","","","","","","","","","","",""
"","D4","CSI_CKN","MonoIO","","","","","","","","","","","","","","","","","",""
"","D6","DSIHOST_REXT","MonoIO","DSIHOST_REXT","","","","","","","","","","","","","","","","","Net-(U1D-DSI_REXT)"
"","D8","PB8","I/O","USART1_TX","","","I2S3_SDO/SPI3_MOSI","","","PCIE_CLKREQN","","USART1_TX","TIM17_CH1","TIM20_CH4","","OCTOSPIM_P2_NCS1","","FMC_D12/FMC_DA12","","","/USART1_TX"
"","D10","VDDIO3","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","D14","VDDIO1","Power","","","","","","","","","","","","","","","","","","/Power/VDDIO_SDCARD"
"","D16","PI10","I/O","","","","SAI1_SCK_A","I2S1_CK/SPI1_SCK","SPDIFRX_IN0","FDCAN2_RX","MDF1_CCK0","","","TIM4_CH1","","","","FMC_D12/FMC_DA12","DSIHOST_TE","",""
"","D18","VDDIO2","Power","","","","","","","","","","","","","","","","","","+1V8"
"","D20","PD7","I/O","OCTOSPIM_P1_IO3","","DEBUG_TRACED3","SPI4_SCK","SPI1_RDY","","SAI1_MCLK_B","MDF1_CKI2","","","TIM1_CH1N","TIM4_CH4","OCTOSPIM_P1_IO3","","","DCMIPP_D11/DCMI_D11/PSSI_D11","","/FLASH_IO3"
"","D22","PE10","I/O","","","","SPI4_SCK","","SAI4_D1","SAI4_SD_A","","USART1_CTS/USART1_NSS","","TIM1_CH3","","FMC_NE3","FMC_NCE2","SDMMC2_D4","SDMMC2_CKIN","",""
"","E1","LVDS2_D3P","MonoIO","","","","","","","","","","","","","","","","","",""
"","E2","LVDS2_D3N","MonoIO","","","","","","","","","","","","","","","","","",""
"","E3","LVDS2_D2P","MonoIO","","","","","","","","","","","","","","","","","",""
"","E5","VDDCSI","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","E9","VDDIO4","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","E11","VDDIO3","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","E13","VDDIO1","Power","","","","","","","","","","","","","","","","","","/Power/VDDIO_SDCARD"
"","E15","PD15","I/O","I2C7_SCL","","","SPI1_RDY","","","","DSIHOST_TE","I2C5_SDA","FDCAN1_TX","TIM1_BKIN2","TIM5_ETR","I2C7_SCL","FMC_D3/FMC_DA3","SDMMC3_CKIN","DCMIPP_D0/DCMI_D0/PSSI_D0","","/I2C7.SCL"
"","E17","VDDIO2","Power","","","","","","","","","","","","","","","","","","+1V8"
"","E19","PD14","I/O","I2C7_SDA","","","","I2S1_MCK","","","","","FDCAN1_RX","TIM11_CH1","","I2C7_SDA","FMC_D4/FMC_DA4","SDMMC3_D3","DCMIPP_D1/DCMI_D1/PSSI_D1","","/I2C7.SDA"
"","E21","DDR_RESETN","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_RESETN"
"","E23","DDR_A23","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_WEN"
"","E25","DDR_DQ19","MonoIO","","","","","","","","","","","","","","","","","",""
"","E26","DDR_DQ17","MonoIO","","","","","","","","","","","","","","","","","",""
"","F1","LVDS2_D4P","MonoIO","","","","","","","","","","","","","","","","","",""
"","F2","LVDS2_D4N","MonoIO","","","","","","","","","","","","","","","","","",""
"","F4","VDDLVDS","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","F6","CSI_REXT","MonoIO","","","","","","","","","","","","","","","","","",""
"","F8","VDDDSI","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","F10","PB9","I/O","","","","SPI3_RDY","","","","","USART1_DE/USART1_RTS","FDCAN1_TX","TIM20_BKIN","TIM10_CH1","OCTOSPIM_P2_DQS","OCTOSPIM_P2_NCS2","FMC_D13/FMC_DA13","","",""
"","F18","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","F20","VDDA18DDR","Power","","","","","","","","","","","","","","","","","","+1V8"
"","F22","DDR_A22","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_ACTN"
"","F24","DDR_DQ18","MonoIO","","","","","","","","","","","","","","","","","",""
"","F25","DDR_DQ16","MonoIO","","","","","","","","","","","","","","","","","",""
"","F26","DDR_DQS2N","MonoIO","","","","","","","","","","","","","","","","","",""
"","F27","DDR_DQS2P","MonoIO","","","","","","","","","","","","","","","","","",""
"","G2","LVDS1_D0P","MonoIO","","","","","","","","","","","","","","","","","",""
"","G3","LVDS1_D0N","MonoIO","","","","","","","","","","","","","","","","","",""
"","G5","VDDA18LVDS","Power","","","","","","","","","","","","","","","","","","+1V8"
"","G7","VDDA18CSI","Power","","","","","","","","","","","","","","","","","","+1V8"
"","G9","VDDA18DSI","Power","","","","","","","","","","","","","","","","","","+1V8"
"","G11","VDDIO4","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","G13","PD3","I/O","OCTOSPIM_P1_NCS1","","","SAI1_MCLK_A","I2S2_CK/SPI2_SCK","SAI1_D1","","SAI4_MCLK_A","UART7_TX","TIM15_CH1N","TIM1_BKIN2","","OCTOSPIM_P1_NCS1","","","DCMIPP_D15/PSSI_D15","","/FLASH_CS"
"","G15","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","G17","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","G19","VDDA18PLL1","Power","","","","","","","","","","","","","","","","","","+1V8"
"","G21","DDR_VREF","MonoIO","","","","","","","","","","","","","","","","","",""
"","G23","DDR_A18","MonoIO","","","","","","","","","","","","","","","","","",""
"","G25","DDR_DQ23","MonoIO","","","","","","","","","","","","","","","","","",""
"","G26","DDR_DQ22","MonoIO","","","","","","","","","","","","","","","","","",""
"","G27","DDR_DQM2","MonoIO","","","","","","","","","","","","","","","","","",""
"","H3","LVDS1_D1P","MonoIO","","","","","","","","","","","","","","","","","",""
"","H4","LVDS1_D1N","MonoIO","","","","","","","","","","","","","","","","","",""
"","H6","VDDA18PLL2","Power","","","","","","","","","","","","","","","","","","+1V8"
"","H22","DDR_A21","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_BG0"
"","H24","DDR_A17","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A10"
"","H25","DDR_DQ21","MonoIO","","","","","","","","","","","","","","","","","",""
"","J1","LVDS1_D2P","MonoIO","","","","","","","","","","","","","","","","","",""
"","J2","LVDS1_D2N","MonoIO","","","","","","","","","","","","","","","","","",""
"","J21","DDR_A20","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A4"
"","J23","DDR_A16","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_BA0"
"","J25","DDR_DQ20","MonoIO","","","","","","","","","","","","","","","","","",""
"","J26","DDR_DQ24","MonoIO","","","","","","","","","","","","","","","","","",""
"","K1","LVDS1_D4P","MonoIO","","","","","","","","","","","","","","","","","",""
"","K2","LVDS1_D4N","MonoIO","","","","","","","","","","","","","","","","","",""
"","K22","DDR_ZQ","MonoIO","","","","","","","","","","","","","","","","","","Net-(U1F-DDR_ZQ)"
"","K24","DDR_A13","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A6"
"","K25","DDR_DQ25","MonoIO","","","","","","","","","","","","","","","","","",""
"","K26","DDR_DQ26","MonoIO","","","","","","","","","","","","","","","","","",""
"","K27","DDR_DQ27","MonoIO","","","","","","","","","","","","","","","","","",""
"","L2","LVDS1_D3P","MonoIO","","","","","","","","","","","","","","","","","",""
"","L3","LVDS1_D3N","MonoIO","","","","","","","","","","","","","","","","","",""
"","L21","DDR_A19","MonoIO","","","","","","","","","","","","","","","","","",""
"","L23","DDR_A12","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A0"
"","L25","DDR_DQ28","MonoIO","","","","","","","","","","","","","","","","","",""
"","L26","DDR_DQS3P","MonoIO","","","","","","","","","","","","","","","","","",""
"","L27","DDR_DQS3N","MonoIO","","","","","","","","","","","","","","","","","",""
"","M22","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","M24","DDR_A14","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A8"
"","M25","DDR_DQM3","MonoIO","","","","","","","","","","","","","","","","","",""
"","N21","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","N23","DDR_A15","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A2"
"","N25","DDR_DQ29","MonoIO","","","","","","","","","","","","","","","","","",""
"","N26","DDR_DQ30","MonoIO","","","","","","","","","","","","","","","","","",""
"","P22","DDR_A3","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_ODT"
"","P24","DDR_A11","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_A11"
"","P25","DDR_DQ31","MonoIO","","","","","","","","","","","","","","","","","",""
"","P26","DDR_DQ11","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ11"
"","P27","DDR_DQ10","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ10"
"","R5","PZ5","I/O","","","","RCC_MCO_1","LPTIM3_ETR","SPI8_SCK","","ADF1_CCK0","LPUART1_DE/LPUART1_RTS","LPTIM5_IN1","","","LPTIM4_CH2","","","","",""
"","R7","V08CAP","Power","","","","","","","","","","","","","","","","","","Net-(U1G-V08CAP)"
"","R21","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","R23","DDR_A10","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_RASN"
"","R25","DDR_DQS1N","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQS1_N"
"","R26","DDR_DQ9","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ9"
"","R27","DDR_DQ8","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_DQ8"
"","T4","PZ0","I/O","","","","","LPTIM3_IN1","SPI8_MOSI","TIM8_CH1","","LPUART1_TX","LPTIM5_OUT","I2C8_SDA","","LPTIM3_CH2","I3C4_SDA","","","",""
"","T6","VBAT","Power","","","","","","","","","","","","","","","","","","VDD_IO"
"","T22","DDR_A9","MonoIO","","","","","","","","","","","","","","","","","","/DDR/DDR_CASN"
