"Devboard Pin","Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","Schematic Net"
"","AG13","PH13","I/O","","","","","I2S3_CK/SPI3_SCK","SPI6_MOSI","","","","TIM15_BKIN","TIM11_CH1","","ETH1_MII_RXD3/ETH1_RGMII_RXD3","","","","",""
"","AG14","PC1","I/O","","","","","I2S3_SDO/SPI3_MOSI","","","","USART2_TX","","","I2C7_SCL","ETH1_MII_TXD1/ETH1_RGMII_TXD1/ETH1_RMII_TXD1","","","","",""
"","AG17","PA4","I/O","","","","","","","","","USART2_TX","FDCAN2_TX","TIM2_CH1","","LTDC_R1","","","ETH1_PTP_AUX_TS","ETH3_PPS_OUT",""
"","AG21","USBH_HS_DM","MonoIO","","","","","","","","","","","","","","","","","",""
"","AG25","COMBOPHY_RX1P","MonoIO","","","","","","","","","","","","","","","","","",""
"","AG26","PCIE_CLKOUTN","MonoIO","","","","","","","","","","","","","","","","","",""
"","AG27","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1A1","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1A3","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1A5","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1A7","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1A9","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1A11","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1B2","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1B4","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1B6","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1B8","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1B10","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1B12","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1C1","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1C3","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1C5","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1C7","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","1C9","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","1C11","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","1D2","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1D4","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1D6","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","1D8","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","1D10","VDDCPU","Power","","","","","","","","","","","","","","","","","","VDD_CPU"
"","1D12","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","1E1","VDDA18PLL3","Power","","","","","","","","","","","","","","","","","","+1V8"
"","1E3","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1E5","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1E7","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1E9","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1E11","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","1F2","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1F4","VDDCORE","Power","","","","","","","","","","","","","","","","","","VDD_CORE"
"","1F6","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1F8","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1F10","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1F12","VDDQDDR","Power","","","","","","","","","","","","","","","","","","VDD_DDR"
"","1G1","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1G3","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1G5","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1G7","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1G9","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1G11","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1H2","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1H4","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1H6","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1H8","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1H10","VDDGPU","Power","","","","","","","","","","","","","","","","","","VDD_GPU"
"","1H12","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1J1","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1J3","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1J5","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1J7","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1J9","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1J11","VSS","Power","","","","","","","","","","","","","","","","","","GND"
"","1K2","VSS","Power","","","","","","","","","","","","","","","","","","GND"
